t_s,power,vel_tps,voltage_v
0.0002,0.2000,-0.00,13.634
0.0225,0.2000,20.00,13.568
0.0325,0.2000,20.00,13.538
0.0426,0.2000,20.00,13.533
0.0526,0.2000,20.00,13.533
0.0626,0.2000,20.00,13.525
0.0727,0.2000,-0.00,13.525
0.0827,0.2000,-0.00,13.529
0.0928,0.2000,-0.00,13.529
0.1028,0.2000,-0.00,13.525
0.1128,0.2000,-0.00,13.520
0.1229,0.2000,-0.00,13.516
0.1329,0.2000,-0.00,13.516
0.1430,0.2000,-0.00,13.520
0.1530,0.2000,-0.00,13.520
0.1630,0.2000,-0.00,13.520
0.1730,0.2000,-0.00,13.516
0.1830,0.2000,-0.00,13.520
0.1931,0.2000,-0.00,13.516
0.2031,0.2000,-0.00,13.516
0.2131,0.2000,-0.00,13.516
0.2229,0.2000,-0.00,13.516
0.2332,0.2000,-0.00,13.516
0.2432,0.2000,-0.00,13.512
0.2532,0.2000,-0.00,13.516
0.2632,0.2000,-0.00,13.516
0.2733,0.2000,-0.00,13.516
0.2833,0.2000,-0.00,13.516
0.2933,0.2000,-0.00,13.516
0.3034,0.2000,-0.00,13.516
0.3134,0.2000,-0.00,13.516
0.3234,0.2000,-0.00,13.516
0.3334,0.2000,-0.00,13.516
0.3435,0.2000,-0.00,13.520
0.3535,0.2000,-0.00,13.516
0.3635,0.2000,-0.00,13.512
0.3735,0.2000,-0.00,13.516
0.3835,0.2000,-0.00,13.507
0.3935,0.2000,-0.00,13.516
0.4035,0.2000,-0.00,13.516
0.4136,0.2000,-0.00,13.516
0.4235,0.2000,-0.00,13.512
0.4336,0.2000,-0.00,13.512
0.4436,0.2000,-0.00,13.516
0.4536,0.2000,-0.00,13.516
0.4636,0.2000,-0.00,13.512
0.4737,0.2000,-0.00,13.512
0.4837,0.2000,-0.00,13.516
0.4937,0.2000,-0.00,13.516
0.5021,0.2000,-0.00,13.516
0.5159,0.2000,-0.00,13.516
0.5259,0.2000,-0.00,13.512
0.5360,0.2000,-0.00,13.512
0.5460,0.2000,-0.00,13.516
0.5560,0.2000,-0.00,13.516
0.5660,0.2000,-0.00,13.512
0.5760,0.2000,-0.00,13.516
0.5860,0.2000,-0.00,13.512
0.5960,0.2000,-0.00,13.512
0.6060,0.2000,-0.00,13.516
0.6160,0.2000,-0.00,13.512
0.6260,0.2000,-0.00,13.512
0.6361,0.2000,-0.00,13.512
0.6461,0.2000,-0.00,13.503
0.6562,0.2000,-0.00,13.512
0.6660,0.2000,-0.00,13.512
0.6764,0.2000,-0.00,13.512
0.6864,0.2000,-0.00,13.507
0.6964,0.2000,-0.00,13.512
0.7064,0.2000,-0.00,13.512
0.7164,0.2000,-0.00,13.512
0.7264,0.2000,-0.00,13.512
0.7364,0.2000,-0.00,13.512
0.7464,0.2000,-0.00,13.512
0.7565,0.2000,-0.00,13.512
0.7665,0.2000,-0.00,13.512
0.7765,0.2000,-0.00,13.512
0.7865,0.2000,-0.00,13.512
0.7965,0.2000,-0.00,13.512
0.8065,0.2000,-0.00,13.512
0.8165,0.2000,-0.00,13.512
0.8265,0.2000,-0.00,13.512
0.8366,0.2000,-0.00,13.512
0.8466,0.2000,-0.00,13.512
0.8566,0.2000,-0.00,13.512
0.8666,0.2000,-0.00,13.512
0.8766,0.2000,-0.00,13.507
0.8866,0.2000,-0.00,13.507
0.8966,0.2000,-0.00,13.512
0.9067,0.2000,-0.00,13.507
0.9167,0.2000,-0.00,13.512
0.9267,0.2000,-0.00,13.512
0.9368,0.2000,-0.00,13.507
0.9468,0.2000,-0.00,13.507
0.9568,0.2000,-0.00,13.507
0.9668,0.2000,-0.00,13.512
0.9769,0.2000,-0.00,13.512
0.9869,0.2000,-0.00,13.512
0.9969,0.2000,-0.00,13.507
1.0034,0.2000,-0.00,13.507
1.0172,0.2000,-0.00,13.507
1.0272,0.2000,-0.00,13.507
1.0372,0.2000,-0.00,13.507
1.0472,0.2000,-0.00,13.512
1.0572,0.2000,-0.00,13.512
1.0672,0.2000,-0.00,13.512
1.0773,0.2000,-0.00,13.512
1.0873,0.2000,-0.00,13.512
1.0973,0.2000,-0.00,13.507
1.1073,0.2000,-0.00,13.507
1.1173,0.2000,-0.00,13.507
1.1273,0.2000,-0.00,13.512
1.1373,0.2000,-0.00,13.507
1.1474,0.2000,-0.00,13.503
1.1574,0.2000,-0.00,13.507
1.1674,0.2000,-0.00,13.512
1.1774,0.2000,-0.00,13.512
1.1874,0.2000,-0.00,13.507
1.1975,0.2000,-0.00,13.507
1.2075,0.2000,-0.00,13.507
1.2175,0.2000,-0.00,13.507
1.2275,0.2000,-0.00,13.512
1.2375,0.2000,-0.00,13.512
1.2475,0.2000,-0.00,13.507
1.2575,0.2000,-0.00,13.507
1.2675,0.2000,-0.00,13.503
1.2777,0.2000,-0.00,13.507
1.2876,0.2000,-0.00,13.503
1.2977,0.2000,-0.00,13.503
1.3077,0.2000,-0.00,13.498
1.3177,0.2000,-0.00,13.503
1.3278,0.2000,-0.00,13.507
1.3378,0.2000,-0.00,13.507
1.3478,0.2000,-0.00,13.507
1.3578,0.2000,-0.00,13.507
1.3678,0.2000,-0.00,13.507
1.3778,0.2000,-0.00,13.507
1.3879,0.2000,-0.00,13.512
1.3979,0.2000,-0.00,13.512
1.4079,0.2000,-0.00,13.503
1.4179,0.2000,-0.00,13.507
1.4279,0.2000,-0.00,13.507
1.4379,0.2000,-0.00,13.507
1.4479,0.2000,-0.00,13.507
1.4579,0.2000,-0.00,13.507
1.4680,0.2000,-0.00,13.507
1.4780,0.2000,-0.00,13.512
1.4880,0.2000,-0.00,13.512
1.4980,0.2000,-0.00,13.507
1.5047,0.2000,-0.00,13.507
1.5185,0.2000,-0.00,13.507
1.5285,0.2000,-0.00,13.507
1.5385,0.2000,-0.00,13.507
1.5485,0.2000,-0.00,13.507
1.5585,0.2000,-0.00,13.507
1.5685,0.2000,-0.00,13.503
1.5785,0.2000,-0.00,13.507
1.5885,0.2000,-0.00,13.507
1.5986,0.2000,-0.00,13.507
1.6086,0.2000,-0.00,13.507
1.6186,0.2000,-0.00,13.507
1.6286,0.2000,-0.00,13.507
1.6386,0.2000,-0.00,13.507
1.6487,0.2000,-0.00,13.498
1.6587,0.2000,-0.00,13.507
1.6687,0.2000,-0.00,13.503
1.6787,0.2000,-0.00,13.503
1.6887,0.2000,-0.00,13.507
1.6987,0.2000,-0.00,13.503
1.7087,0.2000,-0.00,13.503
1.7188,0.2000,-0.00,13.507
1.7288,0.2000,-0.00,13.507
1.7388,0.2000,-0.00,13.507
1.7488,0.2000,-0.00,13.507
1.7588,0.2000,-0.00,13.503
1.7688,0.2000,-0.00,13.503
1.7789,0.2000,-0.00,13.503
1.7889,0.2000,-0.00,13.503
1.7989,0.2000,-0.00,13.507
1.8089,0.2000,-0.00,13.507
1.8189,0.2000,-0.00,13.503
1.8289,0.2000,-0.00,13.503
1.8389,0.2000,-0.00,13.503
1.8489,0.2000,-0.00,13.507
1.8590,0.2000,-0.00,13.507
1.8690,0.2000,-0.00,13.503
1.8790,0.2000,-0.00,13.503
1.8890,0.2000,-0.00,13.503
1.8990,0.2000,-0.00,13.507
1.9090,0.2000,-0.00,13.498
1.9190,0.2000,-0.00,13.507
1.9290,0.2000,-0.00,13.503
1.9391,0.2000,-0.00,13.503
1.9491,0.2000,-0.00,13.507
1.9591,0.2000,-0.00,13.503
1.9691,0.2000,-0.00,13.498
1.9791,0.2000,-0.00,13.498
1.9891,0.2000,-0.00,13.498
1.9991,0.2000,-0.00,13.498
2.0059,0.2000,-0.00,13.503
2.0196,0.2000,-0.00,13.503
